name,time,temperature,seriesA,seriesB
Temperature,2016-02-10T12:00:00Z,1.983333333,1.983333333,
Temperature,2016-02-11T12:00:00Z,0.9222222222,0.9222222222,
Temperature,2016-02-12T12:00:00Z,-0.26,-0.26,
Temperature,2016-02-13T12:00:00Z,-2.566666667,-2.566666667,
Temperature,2016-02-14T12:00:00Z,-4.3,-4.3,
Temperature,2016-02-15T12:00:00Z,-0.3666666667,-0.3666666667,
Temperature,2016-02-16T12:00:00Z,-2.866666667,-2.866666667,
Temperature,2016-02-17T12:00:00Z,2.25,2.25,
Temperature,2016-02-18T12:00:00Z,-1.166666667,-1.166666667,
Temperature,2016-02-19T12:00:00Z,0.2333333333,0.2333333333,
Temperature,2016-02-20T12:00:00Z,2.05,2.05,
Temperature,2016-02-21T12:00:00Z,2.6,2.6,
Temperature,2016-02-22T12:00:00Z,-0.55,-0.55,
Temperature,2016-02-23T12:00:00Z,0.9166666667,0.9166666667,
Temperature,2016-02-24T12:00:00Z,2.5,2.5,
Temperature,2016-02-25T12:00:00Z,1.26,1.26,
Temperature,2016-02-26T12:00:00Z,5.033333333,5.033333333,
Temperature,2016-02-27T12:00:00Z,2.733333333,2.733333333,
Temperature,2016-02-28T12:00:00Z,4.733333333,4.733333333,
Temperature,2016-02-29T12:00:00Z,-0.7166666667,-0.7166666667,
Temperature,2016-03-01T12:00:00Z,0.6666666667,0.6666666667,
Temperature,2016-03-02T12:00:00Z,-0.7666666667,-0.7666666667,
Temperature,2016-03-03T12:00:00Z,,,
Temperature,2016-03-04T12:00:00Z,,,
Temperature,2016-03-05T12:00:00Z,1.75,1.75,
Temperature,2016-03-06T12:00:00Z,0.7333333333,0.7333333333,
Temperature,2016-03-07T12:00:00Z,2.316666667,2.316666667,
Temperature,2016-03-08T12:00:00Z,3.85,3.85,
Temperature,2016-03-09T12:00:00Z,5.4,5.4,
Temperature,2016-03-10T12:00:00Z,6.26,6.26,
Temperature,2016-03-11T12:00:00Z,3.516666667,3.516666667,
Temperature,2016-03-12T12:00:00Z,3.516666667,3.516666667,
Temperature,2016-03-13T12:00:00Z,7.266666667,7.266666667,
Temperature,2016-03-14T12:00:00Z,9.55,9.55,
Temperature,2016-03-15T12:00:00Z,,,
Temperature,2016-03-16T12:00:00Z,9.216666667,9.216666667,
Temperature,2016-03-17T12:00:00Z,6.083333333,6.083333333,
Temperature,2016-03-18T12:00:00Z,9.766666667,9.766666667,
Temperature,2016-03-19T12:00:00Z,9.816666667,9.816666667,
Temperature,2016-03-20T12:00:00Z,10.2,10.2,
Temperature,2016-03-21T12:00:00Z,9.25,9.25,
Temperature,2016-03-22T12:00:00Z,9.1,9.1,
Temperature,2016-03-23T12:00:00Z,6.583333333,6.583333333,
Temperature,2016-03-24T12:00:00Z,6.56,6.56,
Temperature,2016-03-25T12:00:00Z,8.983333333,8.983333333,
Temperature,2016-03-26T12:00:00Z,7.883333333,7.883333333,
Temperature,2016-03-27T12:00:00Z,6.116666667,6.116666667,
Temperature,2016-03-28T12:00:00Z,6.133333333,6.133333333,
Temperature,2016-03-29T12:00:00Z,7.866666667,7.866666667,
Temperature,2016-03-30T12:00:00Z,5.733333333,5.733333333,
Temperature,2016-03-31T12:00:00Z,4.866666667,4.866666667,
Temperature,2016-04-01T12:00:00Z,7.35,7.35,
Temperature,2016-04-02T12:00:00Z,5.416666667,5.416666667,
Temperature,2016-04-03T12:00:00Z,,,
Temperature,2016-04-04T12:00:00Z,,,
