Date,Sales,StateHoliday,SchoolHoliday
2015-07-31,5263,0,1
2015-07-30,5020,0,1
2015-07-29,4782,0,1
2015-07-28,5011,0,1
2015-07-27,6102,0,1
2015-07-26,0,0,0
2015-07-25,4364,0,0
2015-07-24,3706,0,0
2015-07-23,3769,0,0
2015-07-22,3464,0,0
2015-07-21,3558,0,0
2015-07-20,4395,0,0
2015-07-19,0,0,0
2015-07-18,4406,0,0
2015-07-17,4852,0,0
2015-07-16,4427,0,0
2015-07-15,4767,0,0
2015-07-14,5042,0,0
2015-07-13,5054,0,0
2015-07-12,0,0,0
2015-07-11,3530,0,0
2015-07-10,3808,0,0
2015-07-09,3897,0,0
2015-07-08,3797,0,0
2015-07-07,3650,0,0
2015-07-06,4359,0,0
2015-07-05,0,0,0
2015-07-04,4797,0,0
2015-07-03,4665,0,0
2015-07-02,5558,0,0
2015-07-01,5223,0,0
2015-06-30,5735,0,0
2015-06-29,5197,0,0
2015-06-28,0,0,0
2015-06-27,4019,0,0
2015-06-26,3317,0,0
2015-06-25,3533,0,0
2015-06-24,3346,0,0
2015-06-23,3762,0,0
2015-06-22,3846,0,0
2015-06-21,0,0,0
2015-06-20,4097,0,0
2015-06-19,4202,0,0
2015-06-18,4645,0,0
2015-06-17,4000,0,0
2015-06-16,4852,0,0
2015-06-15,5518,0,0
2015-06-14,0,0,0
2015-06-13,4256,0,0
2015-06-12,3695,0,0
2015-06-11,3627,0,0
2015-06-10,3591,0,0
2015-06-09,4102,0,0
2015-06-08,4071,0,0
2015-06-07,0,0,0
2015-06-06,4183,0,0
2015-06-05,5384,0,0
2015-06-04,0,a,0
2015-06-03,5809,0,0
2015-06-02,5450,0,0
2015-06-01,5774,0,0
2015-05-31,0,0,0
2015-05-30,5592,0,0
2015-05-29,4656,0,0
2015-05-28,4111,0,0
2015-05-27,4083,0,0
2015-05-26,4211,0,0
2015-05-25,0,a,0
2015-05-24,0,0,0
2015-05-23,4276,0,0
2015-05-22,4459,0,0
2015-05-21,3755,0,0
2015-05-20,4735,0,0
2015-05-19,5235,0,0
2015-05-18,5280,0,0
2015-05-17,0,0,0
2015-05-16,4431,0,0
2015-05-15,4178,0,0
2015-05-14,0,a,0
2015-05-13,3998,0,0
2015-05-12,3547,0,0
2015-05-11,3551,0,0
2015-05-10,0,0,0
2015-05-09,4945,0,0
2015-05-08,4683,0,0
2015-05-07,4529,0,0
2015-05-06,4960,0,0
2015-05-05,4564,0,0
2015-05-04,5591,0,0
2015-05-03,0,0,0
2015-05-02,5850,0,0
2015-05-01,0,a,0
2015-04-30,6228,0,0
2015-04-29,5775,0,0
2015-04-28,5199,0,0
2015-04-27,5575,0,0
2015-04-26,0,0,0
2015-04-25,4318,0,0
2015-04-24,3198,0,0
2015-04-23,3076,0,0
2015-04-22,3319,0,0
2015-04-21,3037,0,0
2015-04-20,3722,0,0
2015-04-19,0,0,0
2015-04-18,4594,0,0
2015-04-17,4718,0,0
2015-04-16,4116,0,0
2015-04-15,4110,0,0
2015-04-14,4648,0,0
2015-04-13,5377,0,0
2015-04-12,0,0,0
2015-04-11,4173,0,0
2015-04-10,3549,0,1
2015-04-09,3467,0,1
2015-04-08,4194,0,1
2015-04-07,4163,0,1
2015-04-06,0,b,1
2015-04-05,0,0,1
2015-04-04,6709,0,1
2015-04-03,0,b,1
2015-04-02,6574,0,1
2015-04-01,6816,0,1
2015-03-31,6206,0,1
2015-03-30,6714,0,1
2015-03-29,0,0,0
2015-03-28,5208,0,0
2015-03-27,4005,0,0
2015-03-26,3932,0,0
2015-03-25,3531,0,0
2015-03-24,3547,0,0
2015-03-23,3565,0,0
2015-03-22,0,0,0
2015-03-21,3909,0,0
2015-03-20,4057,0,0
2015-03-19,4748,0,0
2015-03-18,3858,0,0
2015-03-17,4806,0,0
2015-03-16,5695,0,0
2015-03-15,0,0,0
2015-03-14,5225,0,0
2015-03-13,3725,0,0
2015-03-12,3141,0,0
2015-03-11,4170,0,0
2015-03-10,3805,0,0
2015-03-09,3701,0,0
2015-03-08,0,0,0
2015-03-07,4592,0,0
2015-03-06,5397,0,0
2015-03-05,4419,0,0
2015-03-04,5568,0,0
2015-03-03,5451,0,0
2015-03-02,5942,0,0
2015-03-01,0,0,0
2015-02-28,5289,0,0
2015-02-27,4708,0,0
2015-02-26,4042,0,0
2015-02-25,3875,0,0
2015-02-24,4054,0,0
2015-02-23,3598,0,0
2015-02-22,0,0,0
2015-02-21,4475,0,0
2015-02-20,4651,0,0
2015-02-19,4460,0,0
2015-02-18,4180,0,0
2015-02-17,4833,0,0
2015-02-16,4303,0,0
2015-02-15,0,0,0
2015-02-14,5015,0,0
2015-02-13,4726,0,0
2015-02-12,3900,0,0
